Variable,Method,Horizon,Period,NFixed,NRecursive
UNEMP,lagged_error,1,2010Q1--2019Q4,40,40
UNEMP,lagged_error,1,2022Q1--2025Q2,14,14
RGDP,lagged_error,1,1969Q1--2025Q2,225,225
RGDP,lagged_error,1,1969Q1--2025Q2*,217,217
RGDP,lagged_error,1,1969Q1--1999Q4,122,122
RGDP,lagged_error,1,2000Q1--2025Q2,103,103
RGDP,lagged_error,1,2000Q1--2025Q2*,95,95
RGDP,lagged_error,1,2000Q1--2008Q4,36,36
RGDP,lagged_error,1,2000Q1--2019Q4,80,80
RGDP,lagged_error,1,2010Q1--2019Q4,40,40
RGDP,lagged_error,1,2022Q1--2025Q2,15,15
INDPROD,lagged_error,1,1969Q1--2025Q2,224,224
INDPROD,lagged_error,1,1969Q1--2025Q2*,216,216
INDPROD,lagged_error,1,1969Q1--1999Q4,122,122
INDPROD,lagged_error,1,2000Q1--2025Q2,102,102
INDPROD,lagged_error,1,2000Q1--2025Q2*,94,94
INDPROD,lagged_error,1,2000Q1--2008Q4,36,36
INDPROD,lagged_error,1,2000Q1--2019Q4,80,80
INDPROD,lagged_error,1,2010Q1--2019Q4,40,40
INDPROD,lagged_error,1,2022Q1--2025Q2,14,14
CPI,lagged_error,1,1981Q3--2025Q2,173,173
CPI,lagged_error,1,1981Q3--2025Q2*,165,165
CPI,lagged_error,1,1981Q3--1999Q4,71,71
CPI,lagged_error,1,2000Q1--2025Q2,102,102
CPI,lagged_error,1,2000Q1--2025Q2*,94,94
CPI,lagged_error,1,2000Q1--2008Q4,36,36
CPI,lagged_error,1,2000Q1--2019Q4,80,80
CPI,lagged_error,1,2010Q1--2019Q4,40,40
CPI,lagged_error,1,2022Q1--2025Q2,14,14
UNEMP,lagged_error,2,1969Q1--2025Q2,222,222
UNEMP,lagged_error,2,1969Q1--2025Q2*,214,214
UNEMP,lagged_error,2,1969Q1--1999Q4,120,120
UNEMP,lagged_error,2,2000Q1--2025Q2,102,102
UNEMP,lagged_error,2,2000Q1--2025Q2*,94,94
UNEMP,lagged_error,2,2000Q1--2008Q4,36,36
UNEMP,lagged_error,2,2000Q1--2019Q4,80,80
UNEMP,lagged_error,2,2010Q1--2019Q4,40,40
UNEMP,lagged_error,2,2022Q1--2025Q2,14,14
RGDP,lagged_error,2,1969Q1--2025Q2,223,223
RGDP,lagged_error,2,1969Q1--2025Q2*,215,215
RGDP,lagged_error,2,1969Q1--1999Q4,120,120
RGDP,lagged_error,2,2000Q1--2025Q2,103,103
RGDP,lagged_error,2,2000Q1--2025Q2*,95,95
RGDP,lagged_error,2,2000Q1--2008Q4,36,36
RGDP,lagged_error,2,2000Q1--2019Q4,80,80
RGDP,lagged_error,2,2010Q1--2019Q4,40,40
RGDP,lagged_error,2,2022Q1--2025Q2,15,15
INDPROD,lagged_error,2,1969Q1--2025Q2,222,222
